symbol,price,price_change,price_percent_change
PVH,76.49,11.85,18.33
HSAI,17.44,2.64,17.88
PRGS,57.58,6.07,11.78
CLSK,7.51,0.79,11.67
CORZ,7.96,0.72,9.92
BE,21.34,1.68,8.55
MNDY,261.99,18.83,7.74
RUM,7.59,0.52,7.43
BRPHF,11.33,0.79,7.50
WNS,65.82,4.33,7.04
NBIS,22.54,1.43,6.77
RIVN,13.29,0.84,6.75
APP,282.79,17.82,6.73
HCM,16.0,0.96,6.39
HIMS,31.39,1.84,6.23
FMCC,5.66,0.31,5.79
RIOT,7.57,0.45,6.25
OS,22.59,1.25,5.86
CRZBY,24.09,1.29,5.66
DUOL,327.53,16.99,5.47
DOOO,35.67,1.86,5.50
DSNKY,25.01,1.23,5.17
MSTR,303.72,15.45,5.36
QXO,14.26,0.72,5.32
LEVI,16.35,0.76,4.87
VIV,9.14,0.41,4.76
IONQ,23.23,1.16,5.26
AEO,12.17,0.55,4.73
IBKR,173.02,7.43,4.49
IAC,39.34,1.68,4.45
RDDT,109.79,4.89,4.66
FNMA,6.6,0.27,4.27
CAKE,50.82,2.16,4.44
RBLX,60.9,2.61,4.48
FINV,10.04,0.41,4.26
ASAN,15.2,0.63,4.32
TKAMY,10.79,0.45,4.35
EGO,17.55,0.73,4.34
TSLA,269.96,10.8,4.17
WING,235.28,9.7,4.30
OKLO,22.52,0.9,4.14
DJT,20.31,0.77,3.94
VRT,75.36,3.16,4.38
ALGM,26.16,1.03,4.10
APLS,22.75,0.88,4.00
COOP,124.51,4.91,4.11
ESAB,120.86,4.36,3.75
TTD,56.9,2.18,3.98
PAY,27.1,1.0,3.83
MOD,79.95,3.2,4.17
KAR,20.0,0.72,3.73
RBC,334.77,13.01,4.04
VCTR,60.1,2.24,3.86
RUSHA,55.36,1.95,3.65
ALAB,61.85,2.18,3.66
TPR,73.0,2.59,3.69
VAL,40.62,1.36,3.46
RL,228.67,7.93,3.59
ENVA,99.93,3.37,3.49
RKT,12.51,0.44,3.60
TLN,206.61,6.94,3.48
VST,121.69,4.25,3.62
BPYPP,14.08,0.47,3.45
TEO,10.54,0.35,3.43
VERX,36.18,1.17,3.34
PDD,122.29,3.94,3.33
VFC,16.08,0.56,3.61
TOST,34.33,1.16,3.50
STEP,53.97,1.74,3.32
GEV,315.95,10.67,3.50
GRND,18.49,0.59,3.30
ACIW,56.6,1.89,3.46
USLM,91.32,2.94,3.32
MNSO,19.11,0.62,3.35
DLO,8.61,0.27,3.24
SHAK,90.97,2.8,3.18
ODD,44.6,1.34,3.10
ACVA,14.58,0.49,3.48
BAP,192.0,5.84,3.14
LKNCY,35.6,1.03,2.98
NTES,106.07,3.15,3.06
LYFT,12.22,0.35,2.91
DAR,32.23,0.99,3.17
U,20.21,0.62,3.16
CIB,41.43,1.23,3.06
BOOT,110.74,3.31,3.08
ZLAB,37.31,1.17,3.25
